,Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstätigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
993,3.0,2.0,59.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,3.5,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,GBS+00234,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1,4.0,4.0,3,3.0
938,3.0,2.0,58.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.5,3.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,GBS+00242,3.0,1.0,3.0,4.0,4.0,4.0,6.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,3.0,2.0,3,4.0
94,3.0,2.0,65.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,8.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,GBS+00253,3.0,1.0,4.0,3.0,3.0,0.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,2.0,3,3.0
132,3.0,2.0,49.0,3.0,4.0,5.0,5.0,1.0,5.0,2.0,1.0,3.0,3.5,4.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,GBS+00259,3.0,1.0,2.0,4.0,4.0,3.0,7.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,1,3.0,3.0,3,4.0
276,2.0,3.0,59.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,GBS+00271,3.0,1.0,3.0,4.0,3.0,0.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1,2.0,5.0,5,4.0
70,3.0,2.0,61.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,GBS+00272,3.0,1.0,1.0,4.0,3.0,2.0,7.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,3.0,3,4.0
309,3.0,3.0,52.0,3.0,5.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,3.5,2.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,GBS-01709,3.0,1.0,1.0,3.0,3.0,3.0,6.0,4.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1,5.0,5.0,5,4.0
620,3.0,2.0,53.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,GBS-01759,3.0,1.0,2.0,4.0,3.0,2.0,7.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,4.0,5,4.0
28,3.0,2.0,47.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,GBS-01820,3.0,1.0,2.0,4.0,3.0,2.0,6.0,5.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,3.0,5.0,4.0,1,4.0,3.0,5,4.0
560,4.0,2.0,36.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,5.0,8.0,3.5,3.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,GBS-01925,4.0,1.0,2.0,4.0,3.0,1.0,7.0,5.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1,4.0,4.0,1,4.0
608,3.0,2.0,21.0,3.0,3.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,3.5,2.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,GBS-02103,2.0,1.0,4.0,2.0,3.0,0.0,6.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,1,4.0,2.0,5,2.0
822,3.0,2.0,32.0,1.0,4.0,1.0,5.0,2.0,5.0,1.0,6.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,5.0,GBS-02826,3.0,1.0,5.0,4.0,4.0,0.0,2.0,3.0,6.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,1,4.0,4.0,3,4.0
665,4.0,2.0,34.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,GBS-03597,3.0,1.0,2.0,4.0,3.0,2.0,6.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,1,4.0,1.0,3,4.0
170,1.0,3.0,21.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,8.0,8.0,3.5,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,GBS-03772,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1,4.0,4.0,1,4.0
35,3.0,2.0,47.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,3.5,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,GBS-03802,3.0,1.0,1.0,4.0,3.0,0.0,6.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,5.0,1,5.0,5.0,5,3.0
141,2.0,3.0,31.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,2.0,3.0,3.5,2.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,5.0,5.0,GBS-03833,2.0,1.0,3.0,2.0,4.0,3.0,7.0,5.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1,5.0,2.0,4,4.0
970,3.0,3.0,31.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,GBS-04010,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,6.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1,3.0,4.0,5,4.0
592,4.0,2.0,36.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-04352,4.0,1.0,2.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,0.5,1.0,3.0,3.0,4.0,1,3.0,4.0,3,4.0
479,2.0,3.0,39.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,8.0,5.0,3.5,3.0,4.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,GBS-04558,2.0,0.0,4.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,1,4.0,1.0,3,4.0
768,2.0,2.0,35.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,4.0,3.0,3.5,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,5.0,GBS-04614,2.0,1.0,2.0,4.0,3.0,1.0,6.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,1,2.0,3.0,2,4.0
515,3.0,2.0,50.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,3.5,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,GBS-04665,2.0,1.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,4.0,4.0,1,4.0,4.0,4,4.0
189,3.0,2.0,47.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,3.5,4.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,GBS-04771,2.0,1.0,5.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,3.0,3,4.0
227,3.0,2.0,45.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,3.5,3.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,5.0,5.0,GBS-04789,3.0,1.0,1.0,4.0,4.0,4.0,7.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,4.0,2.0,3,4.0
11,3.0,2.0,26.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,8.0,3.5,3.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,GBS-04964,3.0,0.0,3.0,3.0,1.0,0.0,6.0,4.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,1,4.0,1.0,2,3.0
232,1.0,4.0,50.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,8.0,3.5,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,GBS-05025,1.0,1.0,4.0,3.0,0.0,0.0,6.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1,4.0,2.0,1,2.0
472,3.0,2.0,38.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,GBS-05132,3.0,1.0,1.0,3.0,3.0,2.0,6.0,5.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,1,4.0,2.0,5,4.0
744,3.0,2.0,37.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,GBS-05278,4.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,6.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1,3.0,5.0,5,4.0
21,3.0,2.0,37.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,5.0,4.0,GBS-05283,3.0,1.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,1.0,0.0,3.0,3.0,5.0,1,4.0,2.0,5,4.0
451,3.0,3.0,40.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.5,1.0,4.0,1.0,2.0,4.0,1.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,GBS-05332,1.0,1.0,1.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1,4.0,2.0,3,4.0
534,4.0,2.0,39.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,GBS-05426,4.0,1.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,2.0,5,3.0
13,3.0,2.0,34.0,4.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,3.5,2.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,GBS-05717,3.0,0.0,2.0,3.0,4.0,2.0,6.0,5.0,2.0,3.0,1.0,4.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,4.0,4,4.0
84,2.0,3.0,45.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,3.5,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,2.0,1.0,4.0,4.0,GBS-05758,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,5.0,2,4.0
729,2.0,2.0,28.0,5.0,4.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,5.0,4.0,GBS-05832,1.0,1.0,4.0,2.0,3.0,0.0,2.0,3.0,5.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,1,1.0,2.0,2,4.0
