,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,label
159,GBS-13969,NEGATIV,0.9643225771425686,0.7778750924499833,0.3100579629838321,0.17633099834280683,1.176664050478243,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,0.613294767538716,1.0,2.0,3.0,2.0,1,-3.280193965929526,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,2.4746872334790853,1
364,GBS-25451,POSITIV,0.9643225771425686,1.674843947288279,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,-1.1007325167823525,-1.3184811925548046,2.0,4.0,4.0,2.0,0,0.3186954528873749,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.4746872334790853,1
165,GBS-14417,NEGATIV,0.9643225771425686,0.29489186292167024,0.3100579629838321,-5.671152601630987,-0.5734657706531676,0.977465930116216,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,0.613294767538716,2.0,3.0,3.0,2.0,0,0.3186954528873749,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0817512805203222,1
479,GBS-30276,,0.9643225771425686,1.674843947288279,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,8.0,-0.8305182273380257,-0.4456216393135642,2.1298687587738345,-1.1007325167823525,-0.35259321250804426,2.0,4.0,2.0,3.0,0,0.3186954528873749,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,-1.7041206253972043,1
180,GBS-15360,,-1.0369973945473194,-0.6020769919166254,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,2.6631669525791377,-0.4332674500342379,2.6710334803274143,1.5791827475854763,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,5.0,4.0,4.0,3.0,-0.3111846724384411,1
244,GBS-19512,,0.9643225771425686,0.29489186292167024,0.3100579629838321,0.17633099834280683,-2.3235955917845783,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,0.4211112862351195,-0.15779101750491065,-0.35259321250804426,2.0,3.0,3.0,3.0,0,0.3186954528873749,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,3.0,1.0817512805203222,1
491,GBS-30907,NEGATIV,0.9643225771425686,1.8818367599432704,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,8.0,-0.8305182273380257,3.440364100552313,-1.2876461863035953,-1.1007325167823525,-2.284369172601565,4.0,3.0,3.0,2.0,0,0.3186954528873749,2.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,1.0817512805203222,1
373,GBS-25919,,-1.0369973945473194,1.6058463430699486,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,1.0,0.44588853915504323,-0.4456216393135642,-1.2876461863035953,-1.1007325167823525,-2.284369172601565,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0817512805203222,1
504,GBS-31529,NEGATIV,0.9643225771425686,1.3988535304149572,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-1.1007325167823525,-1.3184811925548046,2.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,-0.3111846724384411,1
49,GBS-05182,,-1.0369973945473194,1.191860717759966,0.3100579629838321,-5.671152601630987,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,-0.15779101750491065,-1.3184811925548046,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0817512805203222,1
236,GBS-18926,POSITIV,-1.0369973945473194,0.7778750924499833,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,1.0,-0.8305182273380257,1.1087726566327867,1.275490022504477,-0.15779101750491065,0.613294767538716,2.0,2.0,2.0,3.0,0,0.3186954528873749,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,-0.3111846724384411,1
233,GBS-18817,NEGATIV,-1.0369973945473194,0.9158703008866442,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,-0.3111846724384411,1
