GESIS-CODE,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
288506501,0,1946,1.0,1.0,1.0,3.0,5.0,2.0,0.7929969104016478,3.0,3600.0,4000.0,3.0,4.0,1.0,2.0,1.0,1.0,3,9,4.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,,4.0,4.0,3.0
577577701,1,1974,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1100.0,4000.0,4.0,3.0,3.0,2.0,0.0,0.0,2,3,3.0,2.0,3.0,1.0,2.0,5.0,5.0,2.3298602287166457,1.0,5.0,1.0,3.0,4.0,5.0,1.0,8,3.0,3.0319488817891376,4.0
358477201,1,1994,1.0,1.0,2.0,2.208994708994709,2.924228028503563,2.0,0.7929969104016478,4.0,1557.2363041700735,1500.0,1.0,4.0,3.0,4.0,0.0,1.0,,7,4.0,1.0,3.0,4.0,2.0,2.9654471544715446,3.181887560417197,2.3298602287166457,2.989852866565195,2.88248730964467,3.421092757306226,2.9433578867157735,4.1497965412004065,2.7377257695242943,3.667342799188641,,4.0,3.0319488817891376,1.0
168186301,0,1950,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1700.0,3200.0,4.0,4.0,1.0,1.0,1.0,1.0,2,8,3.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,8,4.0,3.0,5.0
212460601,0,1990,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1700.0,3600.0,2.731719490890941,3.452,2.3037943085371944,2.7265683579105224,1.0,1.0,,3,3.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,,4.0,3.0,2.577608142493639
676877901,1,1978,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,3600.0,3600.0,3.0,4.0,3.0,3.0,1.0,1.0,3,5,3.0,3.0,4.0,4.0,1.6628816553116326,2.0,4.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,10,3.0,4.0,3.0
250883301,0,1962,1.0,1.0,1.0,3.0,5.0,1.0,0.0,5.0,4000.0,4000.0,2.0,4.0,3.0,3.0,1.0,1.0,1,7,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,,4.0,2.0,2.0
256863701,1,1969,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1100.0,2000.0,2.0,4.0,2.0,2.0,0.8647191574724172,0.8884039900249376,2,,3.2606182457903996,2.007832238504295,3.2277904328018225,1.9449936628643854,1.6628816553116326,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5,3.666883327916802,3.0,2.577608142493639
527191201,0,1986,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1700.0,3200.0,3.0,4.0,2.0,2.0,1.0,1.0,,10,4.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,,4.0,3.0319488817891376,1.0
695050501,1,1943,1.0,1.0,0.0,2.0,11.0,2.0,0.7929969104016478,2.0,900.0,5000.0,4.0,3.0,1.0,3.0,1.0,1.0,3,10,4.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,5.0,8,3.666883327916802,3.0319488817891376,2.577608142493639
