GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
GBS+00253,NEGATIV,1.0,1951,1,1.0,1.0,2.0,4.0,1.0,0.0,2,0.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
GBS+00259,,1.0,1967,1,1.0,2.0,2.0,1.0,1.0,0.0,4,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0
GBS+00271,NEGATIV,1.0,1957,1,1.0,1.0,2.0,4.0,1.0,0.0,2,0.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
GBS+00272,NEGATIV,1.0,1956,1,1.0,2.0,2.0,1.0,1.0,0.0,1,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0
GBS-01709,,1.0,1965,1,1.0,1.0,2.0,1.0,1.0,0.0,6,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,4.0,1.0
GBS-01759,NEGATIV,0.0,1964,1,1.0,1.0,1.0,1.0,1.0,0.0,2,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0
GBS-01820,POSITIV,0.0,1970,1,1.0,1.0,3.0,5.0,1.0,0.0,2,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,1.0
GBS-01866,,0.0,1984,1,1.0,1.0,3.0,5.0,1.0,3.0,2,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0
GBS-01925,,1.0,1981,1,1.0,1.0,3.0,5.0,1.0,0.0,2,1.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0
GBS-02040,,1.0,1969,1,1.0,2.0,3.0,4.0,1.0,0.0,2,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,5.0,2.0,4.0,1.0,5.0,3.0,5.0,4.0,1.0
