Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstaetigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Personen im Haushalt,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
3.0,2.0,64.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-12183,3.0,1.0,3.0,4.0,3.0,3.0,6.0,5.0,,2.0,2.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,1,4.0,4.0,5.0,4.0
2.0,3.0,57.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,GBS-12902,3.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,"mehrere Personen, und zwar:",2.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,1,2.0,1.0,3.0,4.0
3.0,2.0,55.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,GBS-13016,4.0,1.0,4.0,3.0,3.0,0.0,5.0,4.0,,4.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,0.0,4.0,3.0,2.0,1,2.0,4.0,5.0,4.0
3.0,2.0,63.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,GBS-13506,3.0,1.0,2.0,4.0,3.0,1.0,7.0,4.0,,1.0,5.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1,4.0,1.0,5.0,4.0
3.0,2.0,54.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,4.0,GBS-14152,2.0,1.0,2.0,2.0,3.0,0.0,5.0,5.0,"mehrere Personen, und zwar:",2.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,1,4.0,2.0,2.0,4.0
3.0,2.0,47.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,GBS-14919,3.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,"mehrere Personen, und zwar:",2.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,1.0,3.0,4.0
3.0,3.0,50.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.5,3.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,2.0,4.0,5.0,3.0,1.0,GBS-15259,3.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,"mehrere Personen, und zwar:",4.0,5.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,1,5.0,2.0,3.0,4.0
3.0,2.0,57.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,GBS-15360,3.0,1.0,1.0,4.0,3.0,4.0,6.0,5.0,,1.0,5.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,1,3.0,3.0,5.0,4.0
3.0,2.0,71.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,5.0,4.0,GBS-15615,3.0,1.0,2.0,4.0,3.0,2.0,6.0,4.0,,2.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,1,4.0,2.0,5.0,4.0
3.0,2.0,61.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,GBS-15827,2.0,1.0,3.0,3.0,3.0,2.0,6.0,3.0,,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1,4.0,3.0,5.0,4.0
